ID	biological_process	molecular_function	cellular_component
PB.5.1	NA	NA	cellular_component(GO:0005575);cell(GO:0005623);plasma membrane(GO:0005886);membrane(GO:0016020);cell part(GO:0044464);cell periphery(GO:0071944)
PB.5.2	NA	NA	cellular_component(GO:0005575);cell(GO:0005623);plasma membrane(GO:0005886);membrane(GO:0016020);cell part(GO:0044464);cell periphery(GO:0071944)
PB.5.3	NA	NA	cellular_component(GO:0005575);cell(GO:0005623);plasma membrane(GO:0005886);membrane(GO:0016020);cell part(GO:0044464);cell periphery(GO:0071944)
PB.5.4	NA	NA	cellular_component(GO:0005575);cell(GO:0005623);plasma membrane(GO:0005886);membrane(GO:0016020);cell part(GO:0044464);cell periphery(GO:0071944)
PB.5.5	NA	NA	cellular_component(GO:0005575);cell(GO:0005623);plasma membrane(GO:0005886);membrane(GO:0016020);cell part(GO:0044464);cell periphery(GO:0071944)
PB.6.1	NA	NA	cellular_component(GO:0005575);cell(GO:0005623);plasma membrane(GO:0005886);membrane(GO:0016020);cell part(GO:0044464);cell periphery(GO:0071944)
PB.7.1	NA	NA	cellular_component(GO:0005575);cell(GO:0005623);plasma membrane(GO:0005886);membrane(GO:0016020);cell part(GO:0044464);cell periphery(GO:0071944)
PB.8.1	reproduction(GO:0000003);developmental process involved in reproduction(GO:0003006);multicellular organism development(GO:0007275);biological_process(GO:0008150);post-embryonic development(GO:0009791);flower development(GO:0009908);reproductive process(GO:0022414);multicellular organismal process(GO:0032501);developmental process(GO:0032502);plant-type ovary development(GO:0035670);shoot system development(GO:0048367);floral organ development(GO:0048437);floral whorl development(GO:0048438);carpel development(GO:0048440);gynoecium development(GO:0048467);plant ovule development(GO:0048481);reproductive structure development(GO:0048608);system development(GO:0048731);phyllome development(GO:0048827);anatomical structure development(GO:0048856);reproductive system development(GO:0061458);reproductive shoot system development(GO:0090567);plant organ development(GO:0099402)	NA	cellular_component(GO:0005575);intracellular(GO:0005622);cell(GO:0005623);cytoplasm(GO:0005737);chloroplast(GO:0009507);plastid stroma(GO:0009532);plastid(GO:0009536);chloroplast stroma(GO:0009570);organelle(GO:0043226);membrane-bounded organelle(GO:0043227);intracellular organelle(GO:0043229);intracellular membrane-bounded organelle(GO:0043231);organelle part(GO:0044422);intracellular part(GO:0044424);chloroplast part(GO:0044434);plastid part(GO:0044435);cytoplasmic part(GO:0044444);intracellular organelle part(GO:0044446);cell part(GO:0044464)
PB.8.2	reproduction(GO:0000003);developmental process involved in reproduction(GO:0003006);multicellular organism development(GO:0007275);biological_process(GO:0008150);post-embryonic development(GO:0009791);flower development(GO:0009908);reproductive process(GO:0022414);multicellular organismal process(GO:0032501);developmental process(GO:0032502);plant-type ovary development(GO:0035670);shoot system development(GO:0048367);floral organ development(GO:0048437);floral whorl development(GO:0048438);carpel development(GO:0048440);gynoecium development(GO:0048467);plant ovule development(GO:0048481);reproductive structure development(GO:0048608);system development(GO:0048731);phyllome development(GO:0048827);anatomical structure development(GO:0048856);reproductive system development(GO:0061458);reproductive shoot system development(GO:0090567);plant organ development(GO:0099402)	NA	cellular_component(GO:0005575);intracellular(GO:0005622);cell(GO:0005623);cytoplasm(GO:0005737);chloroplast(GO:0009507);plastid stroma(GO:0009532);plastid(GO:0009536);chloroplast stroma(GO:0009570);organelle(GO:0043226);membrane-bounded organelle(GO:0043227);intracellular organelle(GO:0043229);intracellular membrane-bounded organelle(GO:0043231);organelle part(GO:0044422);intracellular part(GO:0044424);chloroplast part(GO:0044434);plastid part(GO:0044435);cytoplasmic part(GO:0044444);intracellular organelle part(GO:0044446);cell part(GO:0044464)
PB.8.3	reproduction(GO:0000003);developmental process involved in reproduction(GO:0003006);multicellular organism development(GO:0007275);biological_process(GO:0008150);post-embryonic development(GO:0009791);flower development(GO:0009908);reproductive process(GO:0022414);multicellular organismal process(GO:0032501);developmental process(GO:0032502);plant-type ovary development(GO:0035670);shoot system development(GO:0048367);floral organ development(GO:0048437);floral whorl development(GO:0048438);carpel development(GO:0048440);gynoecium development(GO:0048467);plant ovule development(GO:0048481);reproductive structure development(GO:0048608);system development(GO:0048731);phyllome development(GO:0048827);anatomical structure development(GO:0048856);reproductive system development(GO:0061458);reproductive shoot system development(GO:0090567);plant organ development(GO:0099402)	NA	cellular_component(GO:0005575);intracellular(GO:0005622);cell(GO:0005623);cytoplasm(GO:0005737);chloroplast(GO:0009507);plastid stroma(GO:0009532);plastid(GO:0009536);chloroplast stroma(GO:0009570);organelle(GO:0043226);membrane-bounded organelle(GO:0043227);intracellular organelle(GO:0043229);intracellular membrane-bounded organelle(GO:0043231);organelle part(GO:0044422);intracellular part(GO:0044424);chloroplast part(GO:0044434);plastid part(GO:0044435);cytoplasmic part(GO:0044444);intracellular organelle part(GO:0044446);cell part(GO:0044464)
PB.8.4	reproduction(GO:0000003);developmental process involved in reproduction(GO:0003006);multicellular organism development(GO:0007275);biological_process(GO:0008150);post-embryonic development(GO:0009791);flower development(GO:0009908);reproductive process(GO:0022414);multicellular organismal process(GO:0032501);developmental process(GO:0032502);plant-type ovary development(GO:0035670);shoot system development(GO:0048367);floral organ development(GO:0048437);floral whorl development(GO:0048438);carpel development(GO:0048440);gynoecium development(GO:0048467);plant ovule development(GO:0048481);reproductive structure development(GO:0048608);system development(GO:0048731);phyllome development(GO:0048827);anatomical structure development(GO:0048856);reproductive system development(GO:0061458);reproductive shoot system development(GO:0090567);plant organ development(GO:0099402)	NA	cellular_component(GO:0005575);intracellular(GO:0005622);cell(GO:0005623);cytoplasm(GO:0005737);chloroplast(GO:0009507);plastid stroma(GO:0009532);plastid(GO:0009536);chloroplast stroma(GO:0009570);organelle(GO:0043226);membrane-bounded organelle(GO:0043227);intracellular organelle(GO:0043229);intracellular membrane-bounded organelle(GO:0043231);organelle part(GO:0044422);intracellular part(GO:0044424);chloroplast part(GO:0044434);plastid part(GO:0044435);cytoplasmic part(GO:0044444);intracellular organelle part(GO:0044446);cell part(GO:0044464)
PB.8.5	reproduction(GO:0000003);developmental process involved in reproduction(GO:0003006);multicellular organism development(GO:0007275);biological_process(GO:0008150);post-embryonic development(GO:0009791);flower development(GO:0009908);reproductive process(GO:0022414);multicellular organismal process(GO:0032501);developmental process(GO:0032502);plant-type ovary development(GO:0035670);shoot system development(GO:0048367);floral organ development(GO:0048437);floral whorl development(GO:0048438);carpel development(GO:0048440);gynoecium development(GO:0048467);plant ovule development(GO:0048481);reproductive structure development(GO:0048608);system development(GO:0048731);phyllome development(GO:0048827);anatomical structure development(GO:0048856);reproductive system development(GO:0061458);reproductive shoot system development(GO:0090567);plant organ development(GO:0099402)	NA	cellular_component(GO:0005575);intracellular(GO:0005622);cell(GO:0005623);cytoplasm(GO:0005737);chloroplast(GO:0009507);plastid stroma(GO:0009532);plastid(GO:0009536);chloroplast stroma(GO:0009570);organelle(GO:0043226);membrane-bounded organelle(GO:0043227);intracellular organelle(GO:0043229);intracellular membrane-bounded organelle(GO:0043231);organelle part(GO:0044422);intracellular part(GO:0044424);chloroplast part(GO:0044434);plastid part(GO:0044435);cytoplasmic part(GO:0044444);intracellular organelle part(GO:0044446);cell part(GO:0044464)
PB.9.1	response to acid chemical(GO:0001101);cellular protein modification process(GO:0006464);nitrogen compound metabolic process(GO:0006807);response to stress(GO:0006950);response to osmotic stress(GO:0006970);biological_process(GO:0008150);metabolic process(GO:0008152);response to abiotic stimulus(GO:0009628);response to salt stress(GO:0009651);response to endogenous stimulus(GO:0009719);response to hormone(GO:0009725);response to abscisic acid(GO:0009737);positive regulation of metabolic process(GO:0009893);cellular process(GO:0009987);response to organic substance(GO:0010033);protein sumoylation(GO:0016925);peptidyl-amino acid modification(GO:0018193);peptidyl-lysine modification(GO:0018205);regulation of metabolic process(GO:0019222);protein metabolic process(GO:0019538);regulation of cellular metabolic process(GO:0031323);positive regulation of cellular metabolic process(GO:0031325);protein modification by small protein conjugation(GO:0032446);response to lipid(GO:0033993);protein modification process(GO:0036211);response to chemical(GO:0042221);regulation of sulfur metabolic process(GO:0042762);macromolecule metabolic process(GO:0043170);macromolecule modification(GO:0043412);cellular metabolic process(GO:0044237);primary metabolic process(GO:0044238);cellular macromolecule metabolic process(GO:0044260);cellular protein metabolic process(GO:0044267);positive regulation of biological process(GO:0048518);positive regulation of cellular process(GO:0048522);regulation of biological process(GO:0050789);regulation of cellular process(GO:0050794);response to stimulus(GO:0050896);positive regulation of sulfur metabolic process(GO:0051176);biological regulation(GO:0065007);protein modification by small protein conjugation or removal(GO:0070647);organic substance metabolic process(GO:0071704);response to alcohol(GO:0097305);organonitrogen compound metabolic process(GO:1901564);response to oxygen-containing compound(GO:1901700)	molecular_function(GO:0003674);catalytic activity(GO:0003824);transferase activity(GO:0016740);ubiquitin-like protein transferase activity(GO:0019787);SUMO transferase activity(GO:0019789);catalytic activity, acting on a protein(GO:0140096)	NA
